territory_code,municipality,total_population,urban_population,rural_population
1570100000,Брянск,389293,389293,0
1571500000,Клинцы,68896,61627,7269
1572000000,Новозыбковский район,48469,38063,10406
1572500000,Сельцо,15397,15397,0
1571000000,Фокино,12104,12104,0
1550200000,Жуковский район,33145,17280,15865
1550100000,Стародубский район,34347,17487,16860
1560400000,Брасовский район,17303,8383,8920
1560800000,Брянский район,71484,0,71484
1561000000,Выгоничский район,16962,4689,12273
1561100000,Гордеевский район,9643,0,9643
1561200000,Дубровский район,14431,6604,7827
1561600000,Дятьковский район,53082,42599,10483
1562000000,Жирятинский район,6353,0,6353
1562300000,Злынковский район,11426,7645,3781
1562400000,Карачевский район,30873,16770,14103
1562600000,Клетнянский район,16413,11631,4782
1562800000,Климовский район,24892,13153,11739
1563000000,Клинцовский район,16650,0,16650
1563200000,Комаричский район,15238,7293,7945
1563400000,Красногорский район,9920,5376,4544
1563600000,Мглинский район,15435,6783,8652
1563800000,Навлинский район,26640,17101,9539
1564200000,Погарский район,28388,9439,18949
1564400000,Почепский район,33328,14752,18576
1564600000,Рогнединский район,5956,2695,3261
1564800000,Севский район,13528,6407,7121
1565200000,Суземский район,14835,10254,4581
1565400000,Суражский район,21714,10932,10782
1565600000,Трубчевский район,32658,18807,13851
1565800000,Унечский район,33601,23673,9928
